key	zh-CN	en
主菜单	主菜单	Main Menu
设置	设置	Settings
关于	关于	About
禅模式	禅模式	Zen Mode
X-Y	X-Y	X-Y
音感挑战	音感挑战	Ear Trainer
五度圈	五度圈	Circle of Fifths
和弦练习	和弦练习	Chord Trainer
鼓垫	鼓垫	Drum Pad
小钢琴	小钢琴	Tiny Piano
AI 导师	AI 导师	AI Mentor
时钟日历	时钟日历	Clock & Calendar
MIDI 播放器	MIDI 播放器	MIDI Player
节拍器	节拍器	Metronome
有喵喵陪伴的音乐小世界	有喵喵陪伴的音乐小世界	A Musical World with Meow meow
喵喵在睡梦中吃瓜子...	喵喵在睡梦中吃瓜子...	Meow meow is dreaming...
截图已保存	截图已保存	Screenshot saved
无 SD 卡，无法截图	无 SD 卡，无法截图	"No SD card, screenshot unavailable"
截图目录创建失败	截图目录创建失败	Screenshot directory creation failed
截图失败	截图失败	Screenshot failed
截图文件创建失败	截图文件创建失败	Failed to create screenshot file
截图内存不足	截图内存不足	Not enough memory for screenshot
TAB5 Music Box	TAB5 Music Box	TAB5 Music Box
TAB5 音乐盒	TAB5 音乐盒	TAB5 Music Box
上一步	上一步	Back
跳过	跳过	Skip
下一步	下一步	Next
欢迎来到Tab5 Music Box	欢迎来到Tab5 Music Box	Welcome to Tab5 Music Box
我是喵喵，你的音乐小伙伴	我是喵喵，你的音乐小伙伴	"I'm Meow meow, your music buddy"
让我们一起完成几个简单的设置，开启音乐之旅...	让我们一起完成几个简单的设置，开启音乐之旅...	Let's finish a few simple settings and start your music journey...
步骤：2/5	步骤：2/5	Step 2/5
设置日期和时间	设置日期和时间	Date & Time
喵喵需要知道正确的时间才能准确指导你的练习哦...	喵喵需要知道正确的时间才能准确指导你的练习哦...	Meow meow needs the right time to guide your practice...
小时	小时	Hour
分钟	分钟	Minute
当前选择：	当前选择：	Selected:
秒	秒	Second
保存	保存	Save
年	年	Year
月	月	Month
日	日	Day
步骤：3/5	步骤：3/5	Step 3/5
设置亮度和音量	设置亮度和音量	Brightness & Volume
让喵喵的表现更适合你的眼睛和耳朵...	让喵喵的表现更适合你的眼睛和耳朵...	Tune Meow meow to your eyes and ears...
屏幕亮度：	屏幕亮度：	Brightness:
主音量：	主音量：	Volume:
步骤：4/5	步骤：4/5	Step 4/5
个性化你的Music Box	个性化你的Music Box	Personalize your Music Box
让喵喵记住你的偏好设置	让喵喵记住你的偏好设置	Let Meow meow remember your preferences
主题：	主题：	Theme:
开机页面：	开机页面：	Boot screen:
自动熄屏时间：	自动熄屏时间：	Screen-off after:
